country,time,gdp_pct_change_yoy
North Macedonia,2013-12-31,3.6362441540803703
North Macedonia,2014-03-31,4.630285334524498
North Macedonia,2014-06-30,4.692429446663704
North Macedonia,2014-09-30,2.482702915262891
North Macedonia,2014-12-31,1.959354490979992
North Macedonia,2015-03-31,3.125878567635376
North Macedonia,2015-06-30,1.7638407503779652
North Macedonia,2015-09-30,4.218735416429009
North Macedonia,2015-12-31,5.2271525855903445
North Macedonia,2016-03-31,1.9477175658074053
North Macedonia,2016-06-30,3.945586481515173
North Macedonia,2016-09-30,3.1474202696651465
North Macedonia,2016-12-31,2.7817178881008653
North Macedonia,2017-03-31,3.7447508121384976
North Macedonia,2017-06-30,0.6679630529897951
North Macedonia,2017-09-30,0.6617916610391905
North Macedonia,2017-12-31,-0.04983516062254667
North Macedonia,2018-03-31,0.9766203018644726
North Macedonia,2018-06-30,2.466751016544788
North Macedonia,2018-09-30,2.8923560530552894
North Macedonia,2018-12-31,4.592873854178636
North Macedonia,2019-03-31,3.7864463184963837
North Macedonia,2019-06-30,5.536756181014413
North Macedonia,2019-09-30,4.592872711015072
North Macedonia,2019-12-31,1.2522689352963745
North Macedonia,2020-03-31,0.12844220556218477
North Macedonia,2020-06-30,-14.947528245433839
North Macedonia,2020-09-30,-3.2611115563748516
North Macedonia,2020-12-31,0.09868897580762592
North Macedonia,2021-03-31,0.3793737149511367
North Macedonia,2021-06-30,15.52573270747355
North Macedonia,2021-09-30,2.6060700904898315
North Macedonia,2021-12-31,1.153251264053834
North Macedonia,2022-03-31,2.753432727602312
North Macedonia,2022-06-30,3.470467395058807
North Macedonia,2022-09-30,2.0159336814340234
North Macedonia,2022-12-31,2.322233350025038
North Macedonia,2023-03-31,1.2189851199138957
North Macedonia,2023-06-30,1.684060721062619
North Macedonia,2023-09-30,2.4888091531892753
North Macedonia,2023-12-31,2.5972437057039777
North Macedonia,2024-03-31,2.6273364994989334
North Macedonia,2024-06-30,2.8198947723090617
North Macedonia,2024-09-30,2.859128703695757
North Macedonia,2024-12-31,2.9199069854600967
North Macedonia,2025-03-31,3.1935127791457907
Malta,2002-03-31,2.526139833182661
Malta,2002-06-30,3.8192113732982147
Malta,2002-09-30,2.258806808568248
Malta,2002-12-31,2.3280802292263703
Malta,2003-03-31,2.179410394623016
Malta,2003-06-30,3.4847480106100726
Malta,2003-09-30,3.9412942402832885
Malta,2003-12-31,5.005250262513128
Malta,2004-03-31,2.5562538669445356
Malta,2004-06-30,-2.3613469610073268
Malta,2004-09-30,-0.17510625766089527
Malta,2004-12-31,1.8888888888888955
Malta,2005-03-31,-0.835079697720198
Malta,2005-06-30,6.298812102119844
Malta,2005-09-30,4.130188649157218
Malta,2005-12-31,1.8881445708054168
Malta,2006-03-31,3.3604431494348663
Malta,2006-06-30,2.375476561655865
Malta,2006-09-30,2.1347953261152464
Malta,2006-12-31,1.6956667991804508
Malta,2007-03-31,7.008875327209907
Malta,2007-06-30,4.704037632301072
Malta,2007-09-30,5.0664987330004685
Malta,2007-12-31,3.431011411646212
Malta,2008-03-31,4.125293112931727
Malta,2008-06-30,3.9080724591769034
Malta,2008-09-30,3.3979335540586852
Malta,2008-12-31,6.212841422819171
Malta,2009-03-31,-2.2353202846975173
Malta,2009-06-30,-1.8639135254988948
Malta,2009-09-30,-1.4602569941893462
Malta,2009-12-31,0.09306526886283528
Malta,2010-03-31,7.348424525082464
Malta,2010-06-30,5.239003036079937
Malta,2010-09-30,6.825407941732631
Malta,2010-12-31,5.391399466739588
Malta,2011-03-31,1.2835117092296455
Malta,2011-06-30,1.5524991613552475
Malta,2011-09-30,0.5493785073687585
Malta,2011-12-31,0.7174550455382844
Malta,2012-03-31,2.555417511279656
Malta,2012-06-30,4.694643376232133
Malta,2012-09-30,4.98389557552128
Malta,2012-12-31,4.087284718733497
Malta,2013-03-31,4.8967724658564915
Malta,2013-06-30,6.874487284659558
Malta,2013-09-30,6.840229042715729
Malta,2013-12-31,6.457601108856004
Malta,2014-03-31,7.844734314786228
Malta,2014-06-30,6.487801421789752
Malta,2014-09-30,6.479027157738093
Malta,2014-12-31,9.803306130989743
Malta,2015-03-31,9.74727207142212
Malta,2015-06-30,10.248846699787094
Malta,2015-09-30,9.813405539966592
Malta,2015-12-31,8.671854322163997
Malta,2016-03-31,5.000051356320423
Malta,2016-06-30,3.4752258142388692
Malta,2016-09-30,4.2017558686379575
Malta,2016-12-31,3.7410128012781874
Malta,2017-03-31,13.019065413246977
Malta,2017-06-30,12.948003849406554
Malta,2017-09-30,12.891806532255746
Malta,2017-12-31,12.817647390267272
Malta,2018-03-31,5.1923210081706195
Malta,2018-06-30,7.511640116013885
Malta,2018-09-30,8.541677231773082
Malta,2018-12-31,7.357556082740246
Malta,2019-03-31,6.092895050808411
Malta,2019-06-30,4.756606175102651
Malta,2019-09-30,2.6872761252141553
Malta,2019-12-31,3.113030533285799
Malta,2020-03-31,2.939351636420029
Malta,2020-06-30,-8.123763019340835
Malta,2020-09-30,-5.43409847502484
Malta,2020-12-31,-2.5400597041860706
Malta,2021-03-31,1.6220899570556835
Malta,2021-06-30,17.605130081841768
Malta,2021-09-30,18.734613688304403
Malta,2021-12-31,15.805757227395834
Malta,2022-03-31,8.0462326608987
Malta,2022-06-30,4.911633038423191
Malta,2022-09-30,1.4932328389658744
Malta,2022-12-31,3.0000599612250545
Malta,2023-03-31,7.208239556458262
Malta,2023-06-30,6.046082079490911
Malta,2023-09-30,7.514689344485936
Malta,2023-12-31,6.428201811125489
Malta,2024-03-31,7.80140936117919
Malta,2024-06-30,7.781302244569743
Malta,2024-09-30,4.95073403807591
Malta,2024-12-31,3.2284335533432795
Malta,2025-03-31,2.9430623998100147
Netherlands,2002-03-31,0.4370403439930559
Netherlands,2002-06-30,0.25874887309598193
Netherlands,2002-09-30,0.1472392638036668
Netherlands,2002-12-31,0.17398005651432236
Netherlands,2003-03-31,0.5825242718446644
Netherlands,2003-06-30,-0.08758408071749546
Netherlands,2003-09-30,-0.15285702617239272
